Jousting Helmet	120,000 mesos
Red Avenger (F)	Red Avenger (F)	111,000 mesos
Blue Avenger (F)	Blue Avenger (F)	111,000 mesos
Purple Avenger (F)	Purple Avenger (F)	111,000 mesos
Khaki Shadow (M)	Khaki Shadow (M)	180,000 mesos
Marine Shadow (M)	Marine Shadow (M)	180,000 mesos
Khaki Shadow Pants (M)	Khaki Shadow Pants (M)	160,000 mesos
Marine Shadow Pants (M)	Marine Shadow Pants (M)	160,000 mesos
Purple Shadow (F)	Purple Shadow (F)	180,000 mesos
Red Shadow (F)	Red Shadow (F)	180,000 mesos
Purple Shadow Pants (F)	Purple Shadow Pants (F)	160,000 mesos
Red Shadow Pants (F)	Red Shadow Pants (F)	160,000 mesos
